Date,Open,High,Low,Close,Adj Close,Volume
2019-01-30,33.450001,33.840000,33.040001,33.755001,33.755001,619600
2019-01-31,33.689999,34.959999,33.575001,34.880001,34.880001,801600
2019-02-01,34.924999,35.380001,34.750000,35.134998,35.134998,707600
2019-02-04,35.095001,35.750000,34.700001,35.599998,35.599998,921200
2019-02-05,35.720001,35.849998,35.255001,35.840000,35.840000,507400
2019-02-06,35.910000,36.080002,35.610001,35.810001,35.810001,639600
2019-02-07,35.794998,36.564999,35.759998,36.134998,36.134998,1483800
2019-02-08,36.025002,36.430000,35.860001,36.125000,36.125000,1164800
2019-02-11,36.410000,37.810001,36.044998,37.709999,37.709999,1657000
2019-02-12,38.165001,39.279999,38.000000,38.820000,38.820000,1023800
2019-02-13,39.119999,39.689999,38.820000,38.849998,38.849998,1363200
2019-02-14,38.849998,39.235001,38.674999,39.169998,39.169998,1829800
2019-02-15,37.205002,39.150002,35.250000,38.380001,38.380001,3930000
2019-02-19,38.220001,39.465000,38.200001,39.139999,39.139999,1418800
2019-02-20,38.799999,38.845001,37.130001,37.825001,37.825001,2591600
2019-02-21,37.645000,38.080002,37.310001,37.820000,37.820000,946800
2019-02-22,37.974998,38.029999,37.349998,37.865002,37.865002,1727800
2019-02-25,38.009998,38.619999,37.994999,38.480000,38.480000,2014000
2019-02-26,38.580002,38.915001,38.160000,38.270000,38.270000,841800
2019-02-27,38.080002,38.419998,37.740002,38.160000,38.160000,658600
2019-02-28,38.154999,38.154999,37.419998,37.474998,37.474998,673000
2019-03-01,37.915001,37.915001,37.424999,37.770000,37.770000,836200
2019-03-04,37.830002,38.205002,37.634998,37.794998,37.794998,698200
2019-03-05,37.799999,38.044998,37.000000,37.005001,37.005001,699400
2019-03-06,36.994999,37.205002,36.255001,36.290001,36.290001,819600
2019-03-07,36.235001,36.509998,35.345001,35.500000,35.500000,990600
2019-03-08,35.270000,35.520000,34.724998,35.264999,35.264999,534000
2019-03-11,35.355000,36.575001,35.355000,36.520000,36.520000,780000
2019-03-12,36.500000,36.740002,35.764999,35.900002,35.900002,571000
2019-03-13,35.974998,36.165001,35.169998,35.334999,35.334999,724400
2019-03-14,35.250000,35.369999,34.900002,35.035000,35.035000,627800
2019-03-15,35.165001,35.560001,34.895000,35.095001,35.095001,1090800
2019-03-18,34.930000,35.759998,34.865002,35.724998,35.724998,860000
2019-03-19,35.840000,35.875000,34.520000,34.610001,34.610001,1134000
2019-03-20,34.455002,34.455002,32.570000,32.794998,32.794998,1863000
2019-03-21,32.544998,33.299999,32.520000,32.730000,32.730000,1184000
2019-03-22,32.500000,32.615002,31.094999,31.105000,31.105000,1338200
2019-03-25,31.105000,31.740000,30.775000,31.475000,31.475000,1547400
2019-03-26,31.684999,31.945000,31.080000,31.264999,31.264999,1174800
2019-03-27,30.245001,30.545000,29.480000,29.754999,29.754999,4657200
2019-03-28,30.344999,31.825001,30.250000,31.610001,31.610001,4075000
2019-03-29,32.090000,32.355000,30.405001,30.760000,30.760000,27191800
2019-04-01,30.889999,32.270000,30.889999,32.205002,32.205002,2577200
2019-04-02,32.235001,32.930000,31.969999,32.805000,32.805000,2764200
2019-04-03,33.224998,34.029999,33.160000,33.349998,33.349998,2558400
2019-04-04,33.415001,34.500000,33.325001,33.889999,33.889999,1477400
2019-04-05,34.384998,35.025002,34.084999,34.959999,34.959999,1601200
2019-04-08,34.695000,35.259998,34.404999,34.980000,34.980000,1175200
2019-04-09,34.810001,35.299999,34.599998,34.674999,34.674999,996600
2019-04-10,34.700001,35.755001,34.505001,35.724998,35.724998,1388400
2019-04-11,35.855000,36.654999,35.459999,36.500000,36.500000,1711400
2019-04-12,36.759998,37.470001,36.695000,37.445000,37.445000,1129800
2019-04-15,37.500000,38.060001,37.134998,37.360001,37.360001,1227400
2019-04-16,37.584999,38.150002,37.134998,38.014999,38.014999,927200
2019-04-17,38.200001,38.605000,37.855000,38.279999,38.279999,819600
2019-04-18,38.415001,38.660000,37.875000,38.165001,38.165001,919400
2019-04-22,38.130001,38.314999,37.334999,37.540001,37.540001,955400
2019-04-23,37.549999,38.525002,37.355000,38.270000,38.270000,1071600
2019-04-24,38.240002,38.770000,37.994999,38.575001,38.575001,1060000
2019-04-25,38.259998,38.549999,37.799999,38.165001,38.165001,897200
2019-04-26,38.119999,38.235001,37.855000,38.014999,38.014999,1691400
2019-04-29,38.180000,38.470001,37.935001,38.264999,38.264999,1077000
2019-04-30,32.764999,35.730000,32.500000,34.634998,34.634998,11441400
2019-05-01,34.470001,34.724998,32.730000,32.910000,32.910000,3339600
2019-05-02,32.750000,32.985001,31.805000,32.450001,32.450001,2318400
2019-05-03,32.619999,34.000000,32.549999,33.849998,33.849998,1643000
2019-05-06,33.145000,35.049999,32.869999,32.904999,32.904999,1393200
2019-05-07,32.654999,33.189999,31.620001,32.014999,32.014999,1706400
2019-05-08,32.009998,32.009998,31.030001,31.254999,31.254999,1874800
2019-05-09,30.945000,31.375000,30.370001,31.235001,31.235001,1178000
2019-05-10,31.150000,31.665001,30.590000,31.575001,31.575001,1074800
2019-05-13,30.840000,31.145000,30.205000,30.315001,30.315001,1547600
2019-05-14,30.450001,30.840000,29.910000,30.655001,30.655001,1021200
2019-05-15,30.215000,30.735001,30.115000,30.549999,30.549999,1632000
2019-05-16,30.650000,30.735001,30.135000,30.510000,30.510000,1852600
